title,description,image,url,keywords,category
Roy Lichtenstein: Pop Idol,Roy Lichtenstein revolutionised art with his cartoon images of American culture. (2004),https://ichef.bbci.co.uk/images/ic/1200x675/p01h7msz.jpg,https://www.bbc.co.uk/iplayer/episode/b0074q0f/roy-lichtenstein-pop-idol,"BBC, iPlayer, TV, Roy Lichtenstein: Pop Idol",arts
Civilisation - 13. Heroic Materialism,Kenneth Clark considers heroic materialism and humanitarianism in the past 100 years.,https://ichef.bbci.co.uk/images/ic/1200x675/p04xl48h.jpg,https://www.bbc.co.uk/iplayer/episode/b0074r72/civilisation-13-heroic-materialism,"BBC, iPlayer, TV, Civilisation, 13. Heroic Materialism",arts
Mark Lawson Talks To... - Barry Cryer,Comedy writer and raconteur Barry Cryer in conversation with Mark Lawson.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bmr7kq.jpg,https://www.bbc.co.uk/iplayer/episode/b009ph5z/mark-lawson-talks-to-barry-cryer,"BBC, iPlayer, TV, Mark Lawson Talks To..., Barry Cryer",arts
The Birth of British Music - 1. Purcell - The Londoner,"The life and music of Henry Purcell, from tavern songs to sacred music and stage works.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bnf61d.jpg,https://www.bbc.co.uk/iplayer/episode/b00kfqgq/the-birth-of-british-music-1-purcell-the-londoner,"BBC, iPlayer, TV, The Birth of British Music, 1. Purcell - The Londoner",arts
Fleetwood Mac: Don't Stop,"The story of one of the biggest-selling bands of all time, told in their own words.",https://ichef.bbci.co.uk/images/ic/1200x675/p0blq3c0.jpg,https://www.bbc.co.uk/iplayer/episode/b00nq7q9/fleetwood-mac-dont-stop,"BBC, iPlayer, TV, Fleetwood Mac: Dont Stop",arts
Creachadh na Clarsaich/Plundering the Harp,"A documentary on the work of Derick Thomson, the renowned Gaelic poet. ",https://ichef.bbci.co.uk/images/ic/1200x675/p09npd4h.jpg,https://www.bbc.co.uk/iplayer/episode/b00p04z1/creachadh-na-clarsaichplundering-the-harp,"BBC, iPlayer, TV, Creachadh na Clarsaich/Plundering the Harp",arts
This Green and Pleasant Land: The Story of British Landscape Painting,Documentary looking at how the British landscape has been depicted over the centuries.,https://ichef.bbci.co.uk/images/ic/1200x675/p09dn5s9.jpg,https://www.bbc.co.uk/iplayer/episode/b01173pk/this-green-and-pleasant-land-the-story-of-british-landscape-painting,"BBC, iPlayer, TV, This Green and Pleasant Land: The Story of British Landscape Painting",arts
Growing Up Down's,A group of young actors with Down's syndrome create a touring production of Hamlet.,https://ichef.bbci.co.uk/images/ic/1200x675/p01q0c3w.jpg,https://www.bbc.co.uk/iplayer/episode/b03sc49m/growing-up-downs,"BBC, iPlayer, TV, Growing Up Downs",arts
Castles: Britain's Fortified History - 3. Defence of the Realm,"How castle ruins took on a unique appeal, embodying a nostalgia for an age of chivalry.",https://ichef.bbci.co.uk/images/ic/1200x675/p02ddt4z.jpg,https://www.bbc.co.uk/iplayer/episode/b04v85sy/castles-britains-fortified-history-3-defence-of-the-realm,"BBC, iPlayer, TV, Castles: Britains Fortified History, 3. Defence of the Realm",arts
Boy George and Culture Club: Karma to Calamity,"Film about Culture Club's 2014 reunion, as they record a new album and tour the UK and US.",https://ichef.bbci.co.uk/images/ic/1200x675/p02kbskm.jpg,https://www.bbc.co.uk/iplayer/episode/b054v27d/boy-george-and-culture-club-karma-to-calamity,"BBC, iPlayer, TV, Boy George and Culture Club: Karma to Calamity",arts
